MechanicID,FirstName,LastName,SkillLevel,Contact
1,Robert,Smith,Master,555-9101
2,William,Johnson,Senior,555-9102
3,David,Williams,Intermediate,555-9103
4,Richard,Brown,Junior,555-9104
5,Charles,Jones,Senior,555-9105
6,Joseph,Garcia,Master,555-9106
7,Thomas,Miller,Intermediate,555-9107
8,Christopher,Davis,Junior,555-9108
9,Daniel,Rodriguez,Senior,555-9109
10,Paul,Martinez,Master,555-9110
11,Mark,Hernandez,Intermediate,555-9111
12,Donald,Lopez,Junior,555-9112
13,George,Gonzalez,Senior,555-9113
14,Kenneth,Wilson,Master,555-9114
15,Steven,Anderson,Intermediate,555-9115
16,Edward,Thomas,Junior,555-9116
17,Brian,Taylor,Senior,555-9117
18,Ronald,Moore,Master,555-9118
19,Anthony,Jackson,Intermediate,555-9119
20,Kevin,Martin,Junior,555-9120
21,Jason,Lee,Senior,555-9121
22,Matthew,Perez,Master,555-9122
23,Gary,Thompson,Intermediate,555-9123
24,Timothy,White,Junior,555-9124
25,Jose,Harris,Senior,555-9125
26,Larry,Sanchez,Master,555-9126
27,Jeffrey,Clark,Intermediate,555-9127
28,Frank,Ramirez,Junior,555-9128
29,Scott,Lewis,Senior,555-9129
30,Eric,Robinson,Master,555-9130
31,Stephen,Walker,Intermediate,555-9131
32,Andrew,Young,Junior,555-9132
33,Raymond,Allen,Senior,555-9133
34,Gregory,King,Master,555-9134
35,Joshua,Wright,Intermediate,555-9135
36,Jerry,Scott,Junior,555-9136
37,Dennis,Torres,Senior,555-9137
38,Walter,Nguyen,Master,555-9138
39,Patrick,Hill,Intermediate,555-9139
40,Peter,Flores,Junior,555-9140
41,Harold,Green,Senior,555-9141
42,Douglas,Adams,Master,555-9142
43,Henry,Nelson,Intermediate,555-9143
44,Carl,Baker,Junior,555-9144
45,Arthur,Hall,Senior,555-9145
46,Ryan,Rivera,Master,555-9146
47,Roger,Campbell,Intermediate,555-9147
48,Joe,Mitchell,Junior,555-9148
49,Juan,Carter,Senior,555-9149
50,Jack,Roberts,Master,555-9150
